"country","giniWB","yearWB","giniCIA","yearCIA","pop2021"
"Kazakhstan","27.8000","2018","27.5000","2017","18994.9620"
"Norway","27.6000","2018","27","2017","5465.6300"
"Algeria","27.6000","2011","27.6000","2011","44616.6240"
"Finland","27.3000","2018","27.4000","2017","5548.3600"
"Belgium","27.2000","2018","27.4000","2017","11632.3260"
"Azerbaijan","26.6000","2005","33.7000","2008","10223.3420"
"Ukraine","26.6000","2019","26.1000","2018","43466.8190"
"Iceland","26.1000","2017","26.8000","2015","343.3530"
"United Arab Emirates","26","2018","32.5000","2014","9991.0890"
"Moldova","25.7000","2018","25.7000","2018","4024.0190"
"Belarus","25.3000","2019","25.2000","2018","9442.8620"
"Czech Republic","25","2018","","","10724.5550"
"Slovenia","24.6000","2018","24.2000","2017","2078.7240"
"Falkland Islands","","","36","2015","3.5330"
"Faroe Islands","","","22.7000","2013","49.0490"
"Greenland","","","33.9000","2015","56.8770"
"Macau","","","35","2013","658.3940"
"Qatar","","","41.1000","2007","2930.5280"
"New Zealand","","","36.2000","1997","4860.6430"
"Slovakia","","","25.2000","2016","5460.7210"
"Singapore","","","45.9000","2017","5896.6860"
"Hong Kong","","","53.9000","2016","7552.8100"
"Cambodia","","","37.9000","2008","16946.4380"
"Taiwan","","","33.6000","2014","23855.0100"
"Saudi Arabia","","","45.9000","2013","35340.6830"
"Afghanistan","","","29.4000","2008","39835.4280"
