"country","giniWB","yearWB","giniCIA","yearCIA","pop2021","country_code"
"Papua New Guinea","41.9000","2009","50.9000","1996","9119.0100","PNG"
"Dominican Republic","41.9000","2019","43.7000","2018","10953.7030","DOM"
"Turkey","41.9000","2019","41.9000","2018","85042.7380","TUR"
"Djibouti","41.6000","2017","41.6000","2017","1002.1870","DJI"
"Bolivia","41.6000","2019","42.2000","2018","11832.9400","BOL"
"Ivory Coast","41.5000","2015","","","27053.6290","CIV"
"Peru","41.5000","2019","42.8000","2018","33359.4180","PER"
"United States","41.4000","2018","41.1000","2016","332915.0730","USA"
"Bulgaria","41.3000","2018","40.4000","2017","6896.6630","BGR"
"Haiti","41.1000","2012","41.1000","2012","11541.6850","HTI"
"Malaysia","41.1000","2015","41","2015","32776.1940","MYS"
"Turkmenistan","40.8000","1998","40.8000","1998","6117.9240","TKM"
"Kenya","40.8000","2015","40.8000","2015","54985.6980","KEN"
"Tanzania","40.5000","2017","40.5000","2017","61498.4370","TZA"
"Trinidad and Tobago","40.3000","1992","","","1403.3750","TTO"
"Senegal","40.3000","2011","40.3000","2011","17196.3010","SEN"
"Micronesia","40.1000","2013","40.1000","2013","116.2540","FSM"
"Uruguay","39.7000","2019","39.7000","2018","3485.1510","URY"
"Morocco","39.5000","2013","39.5000","2013","37344.7950","MAR"
"Sri Lanka","39.3000","2016","39.8000","2016","21497.3100","LKA"
"Tuvalu","39.1000","2010","39.1000","2010","11.9310","TUV"
"Israel","39","2016","37","2018","8789.7740","ISR"
"El Salvador","38.8000","2019","38.6000","2018","6518.4990","SLV"
"Laos","38.8000","2018","36.4000","2012","7379.3580","LAO"
"Samoa","38.7000","2013","38.7000","2013","200.1490","WSM"
